id,title,price,dateOfreadiness,discount_price,label,slug,description,media,media_type,height,width,available,category_id
193,Детский торты на день рождения 1 годик,1999,2,,P,detskij-torty-na-den-rozhdeniya-1-godik,цена за 1кг. (с учетом декора),detskij-torty-na-den-rozhdeniya-1-godik.jpg,image,1614,1440,t,2
194,Торт для мужчины с потеками,1999,2,,S,tort-dlya-muzhchiny-s-potekami,цена за 1кг. (с учетом декора),tort-dlya-muzhchiny-s-potekami.jpg,image,1640,1440,t,7
195,Торт для мужчины с деньгами,1999,2,,P,tort-dlya-muzhchiny-s-dengami,цена за 1кг. (с учетом декора),tort-dlya-muzhchiny-s-dengami.jpg,image,1600,1377,t,7
196,Ягодный торт Фруктовое счастье,2200,2,,P,yagodnyj-tort-fruktovoe-schaste,цена за 1кг. (с учетом декора),yagodnyj-tort-fruktovoe-schaste.jpg,image,1440,1440,t,8
192,Елка из имбирных пряников,3000,4,,P,elka-iz-imbirnyh-pryanikov,/,elka-iz-imbirnyh-pryanikov.jpg,image,1200,583,t,1
191,"Пряничный домик Зима, 800 г",6000,4,,P,pryanichnyj-domik-zima-800-g,/,pryanichnyj-domik-zima-800-g.jpg,image,1600,1220,t,1
175,Новогодний торт Новогодняя Елка,1999,2,,S,novogodnij-tort-novogodnyaya-elka,цена за 1кг. (с учетом декора),novogodnij-tort-novogodnyaya-elka.jpg,image,1496,950,t,4
190,Торт рафаэлло с малиной,1000,2,,P,tort-rafaello-s-malinoj,Вес - 800 гр.,tort-rafaello-s-malinoj.png,image,1350,1080,t,1
198,Новогодний торт елкой с подтеками,1699,2,,P,novogodnij-tort-elkoj-s-podtekami,цена за 1кг. (с учетом декора),novogodnij-tort-elkoj-s-podtekami.jpg,image,705,564,t,4
199,Капкейки в виде елки,99,2,,P,kapkejki-v-vide-elki,Цена 99 руб. за 1 шт.,kapkejki-v-vide-elki.jpg,image,846,564,t,4
201,Торт Единорог 2 яруса,1999,2,,P,tort-edinorog-2-yarusa,цена за 1кг. (с учетом декора),tort-edinorog-2-yarusa.jpg,image,901,564,t,2
200,Новогодний торт с елкой(фиолетового цвета),1999,2,,P,novogodnij-tort-s-elkojfioletovogo-cveta,цена за 1кг. (с учетом декора),novogodnij-tort-s-elkojfioletovogo-cveta.jpg,image,1040,1040,t,4
202,Торт Единорог с косичкой,1999,2,,P,tort-edinorog-s-kosichkoj,цена за 1кг. (с учетом декора),tort-edinorog-s-kosichkoj.jpg,image,1265,1173,t,2
